Year,Type,Country,Area,Activity,Fatal,Species ,,
2017,Unprovoked,SOLOMON ISLANDS,,Spearfishing,N,,,
2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",Y,,,
2017,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,N,,,
2017,Unprovoked,USA,Florida,Swimming,N,Nurse shark,,
2017,Unprovoked,USA,Texas,Swimming,N,,,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Unprovoked,AUSTRALIA,Victoria,Surfing,N,"White shark, 3 m",,
2017,Unprovoked,USA,Florida,Wading,N,,,
2017,Invalid,SPAIN,Castellón,Swimming,,Shark involvement questionable,,
2017,Unprovoked,NEW ZEALAND,North Island,Canoeing,N,,,
2017,Unprovoked,USA,Massachusetts,SUP,N,"White shark, 5' to 7'",,
2017,Unprovoked,BAHAMAS,,Spearfishing,N,5' shark,,
2017,Unprovoked,USA,South Carolina,Swimming,N,Possibly a juvenile blacktip shark,,
2017,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,N,"Oceanic whitetip shark, 1.8 to 2 m",,
2017,Provoked,USA,Massachusetts,Fishing,N,4' shark,,
2017,Boating,USA,California,Kayaking / Fishing,N,"White shark, 10'",,
2017,Unprovoked,USA,Florida,Skimboarding,N,,,
2017,Invalid,USA,South Carolina,Swimming,,A small shark,,
2017,Unprovoked,USA,South Carolina,,N,,,
2017,Unprovoked,BAHAMAS,New Providence District,Snorkeling,N,,,
2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,N,,,
2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,N,,,
2017,Unprovoked,USA,New Jersey,,N,Sandtiger shark 2',,
2017,Unprovoked,SPAIN,Majorca,Swimming,N,Blue shark 6',,
2017,Unprovoked,USA,Florida,,N,"""A small shark""",,
2017,Invalid,USA,South Carolina,Swimming,,Shark involvement not confirmed,,
2017,Boating,USA,California,Kayaking,N,"White shark, 11' to 13'",,
2017,Unprovoked,USA,California,SUP,N,"White shark, 8' to 10'",,
2017,Unprovoked,USA,Washington,Surfing,N,"White shark, 9'",,
2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,,
2017,Boating,USA,California,Kayaking,N,White shark,,
2017,Unprovoked,USA,Florida,Swimming,N,"Bull shark, 4' to 5'",,
2017,Provoked,MEXICO,Tabasco,Fishing,N,"Tiger shark, 100 kg",,
2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"White shark, 2.5 m",,
2017,Invalid,COMOROS,Anjouan,Fishing,,Shark involvement prior to death not confirmed,,
2017,Invalid,USA,South Carolina,Fishing,,No shark invovlement,,
2017,Unprovoked,USA,South Carolina,Swimming,N,,,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Unprovoked,USA,South Carolina,Swimming,N,"Bull shark, 4' to 5'",,
2017,Unprovoked,REUNION,,Body boarding,N,"Bull shark, 2m",,
2017,Unprovoked,SPAIN,Ibiza Island,Swimming,N,,,
2017,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,N,,,
2017,Unprovoked,BAHAMAS,,Feeding sharks,N,,,
2017,Unprovoked,AUSTRALIA,Western Australia,Body boarding,N,"White shark, 4 m",,
2017,Unprovoked,AUSTRALIA,Victoria,Surfing,N,Seven-gill shark,,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Unprovoked,UNITED KINGDOM,South Devon,Surfing,N,"3m shark, probably a smooth hound",,
2017,Unprovoked,USA,Florida,Spearfishing,N,8' shark,,
2017,Unprovoked,BAHAMAS,New Providence,Snorkeling,N,Tiger shark,,
2017,Provoked,USA,South Carolina,Touching a shark,N,3' shark,,
2017,Unprovoked,USA,Florida,Feeding sharks,N,Tiger shark,,
2017,Invalid,AUSTRALIA,New South Wales,Fishing,N,,,
2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah,",Spearfishing,N,,,
2017,Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,N,9' shark,,
2017,Unprovoked,MEXICO,Baja California Sur,Snorkeling,Y,,,
2017,Invalid,USA,California,Surfing,,Shark involvement highly doubtful,,
2017,Unprovoked,USA,California,Swimming,N,,,
2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,,,
2017,Unprovoked,USA,South Carolina,Surfing,N,,,
2017,Unprovoked,REUNION,Saint-Leu,Body boarding,Y,,,
2017,Unprovoked,NEW ZEALAND,South Island,Body boarding,N,,,
2017,Invalid,USA,Florida,Photo shoot,,No shark invovlement - it ws a publicity stunt,,
2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,N,,,
2017,Invalid,USA,South Carolina,Swimming,,Shark involvement not confirmed,,
2017,Unprovoked,USA,Florida,,N,,,
2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,Y,White shark,,
2017,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 12'",,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,,Shark involvement prior to death not confirmed,,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Unprovoked,USA,Florida,Paddle boarding,N,,,
2017,Unprovoked,USA,Florida,Swimming,N,,,
2017,Unprovoked,USA,Florida,Swimming,N,,,
2017,Unprovoked,USA,Florida,Swimming,N,,,
2017,Unprovoked,AUSTRALIA,Queensland,Kakaying,N,,,
2017,Unprovoked,USA,Florida,Swimming,N,"Bull shark, 5' to 7'",,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Unprovoked,AUSTRALIA,New South Wales,Body boarding,N,,,
2017,Boating,USA,California,Kayaking,N,White shark,,
2017,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,N,10' shark,,
